customer_id,customer_name,customer_type,city,state,signup_date,credit_terms_days
C0034,Print Hub Surat,Wholesale,Surat,Gujarat,2022-01-10,15
C0035,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,2022-10-23,60
C0036,Business Supplies Co Coimbatore,Wholesale,Coimbatore,Tamil Nadu,2022-04-16,30
C0037,ID Card Distributors Chandigarh,Wholesale,Chandigarh,Punjab,2024-12-12,45
C0038,Office Mart Bengaluru,Wholesale,Bengaluru,Karnataka,2022-01-22,15
C0039,ID Card Distributors Ahmedabad,Wholesale,Ahmedabad,Gujarat,2022-05-15,30
C0040,Print Express Wholesale Ahmedabad,Wholesale,Ahmedabad,Gujarat,2025-01-05,45
C0041,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,2022-11-06,60
C0042,Office Mart Chennai,Wholesale,Chennai,Tamil Nadu,2024-09-12,30
C0043,Business Supplies Co Chandigarh,Wholesale,Chandigarh,Punjab,2023-11-17,45
C0044,Print Express Wholesale Nagpur,Wholesale,Nagpur,Maharashtra,2022-09-04,30
C0045,Card Solutions Chennai,Wholesale,Chennai,Tamil Nadu,2023-05-26,15
C0046,Quick Print Shop Ahmedabad,Retail,Ahmedabad,Gujarat,2023-09-28,0
C0047,Print N Bind Mumbai,Retail,Mumbai,Maharashtra,2024-07-10,0
C0048,Easy ID Cards Chennai,Retail,Chennai,Tamil Nadu,2023-08-31,0
C0049,Smart Print Studio Chandigarh,Retail,Chandigarh,Punjab,2023-01-20,0
C0050,Quick Print Shop Bengaluru,Retail,Bengaluru,Karnataka,2023-03-20,0
C0051,Print N Bind Kolkata,Retail,Kolkata,West Bengal,2023-10-21,0
C0052,School Supplies Shop Jaipur,Retail,Jaipur,Rajasthan,2022-08-31,0
C0053,Campus Stationery Kolkata,Retail,Kolkata,West Bengal,2022-04-16,0
C0054,Easy ID Cards Chandigarh,Retail,Chandigarh,Punjab,2022-01-04,0
C0055,Cyber Cafe & Print Surat,Retail,Surat,Gujarat,2023-07-22,0
C0056,Student Stationery Chennai,Retail,Chennai,Tamil Nadu,2024-08-11,0
C0057,Quick Print Shop Chandigarh,Retail,Chandigarh,Punjab,2024-10-17,0
C0058,School Supplies Shop Indore,Retail,Indore,Madhya Pradesh,2023-05-06,0
C0059,FastCard Print Pune,Retail,Pune,Maharashtra,2025-04-04,0
C0060,School Supplies Shop Delhi,Retail,Delhi,Delhi,2023-04-01,0
C0061,FastCard Print Mumbai,Retail,Mumbai,Maharashtra,2024-05-15,0
C0062,FastCard Print Indore,Retail,Indore,Madhya Pradesh,2024-09-20,0
C0063,School Supplies Shop Pune,Retail,Pune,Maharashtra,2022-07-16,0
C0064,Easy ID Cards Pune,Retail,Pune,Maharashtra,2024-09-04,0
C0065,Print N Bind Lucknow,Retail,Lucknow,Uttar Pradesh,2024-12-25,0
C0066,Print N Bind Surat,Retail,Surat,Gujarat,2023-04-16,0
C0067,FastCard Print Kolkata,Retail,Kolkata,West Bengal,2023-06-11,0
C0068,City Photocopy Center Coimbatore,Retail,Coimbatore,Tamil Nadu,2024-01-19,0
C0069,Student Stationery Mumbai,Retail,Mumbai,Maharashtra,2023-06-11,0
C0070,Neighborhood Printers Mumbai,Retail,Mumbai,Maharashtra,2023-03-03,0
C0071,Student Stationery Chandigarh,Retail,Chandigarh,Punjab,2023-10-01,0
C0072,FastCard Print Pune,Retail,Pune,Maharashtra,2022-10-02,0
C0073,City Photocopy Center Hyderabad,Retail,Hyderabad,Telangana,2023-06-02,0
C0074,Student Stationery Bengaluru,Retail,Bengaluru,Karnataka,2024-05-26,0
C0075,Smart Print Studio Jaipur,Retail,Jaipur,Rajasthan,2024-08-10,0
C0076,Quick Print Shop Nagpur,Retail,Nagpur,Maharashtra,2023-10-03,0
C0077,Cyber Cafe & Print Hyderabad,Retail,Hyderabad,Telangana,2024-08-04,0
C0078,Neighborhood Printers Chennai,Retail,Chennai,Tamil Nadu,2023-01-10,0
C0079,Cyber Cafe & Print Pune,Retail,Pune,Maharashtra,2024-06-11,0
C0080,Smart Print Studio Coimbatore,Retail,Coimbatore,Tamil Nadu,2023-11-15,0
C0081,Easy ID Cards Jaipur,Retail,Jaipur,Rajasthan,2024-11-18,0
C0082,Local Print Corner Mumbai,Retail,Mumbai,Maharashtra,2024-09-12,0
C0083,Smart Print Studio Chandigarh,Retail,Chandigarh,Punjab,2023-07-03,0
C0084,FastCard Print Ahmedabad,Retail,Ahmedabad,Gujarat,2023-08-26,0
C0085,Easy ID Cards Kolkata,Retail,Kolkata,West Bengal,2023-08-07,0
C0086,School Supplies Shop Ahmedabad,Retail,Ahmedabad,Gujarat,2024-07-15,0
C0087,City Photocopy Center Lucknow,Retail,Lucknow,Uttar Pradesh,2024-04-12,0
C0088,Print N Bind Ahmedabad,Retail,Ahmedabad,Gujarat,2022-10-30,0
C0089,Smart Print Studio Pune,Retail,Pune,Maharashtra,2022-08-06,0
C0090,FastCard Print Jaipur,Retail,Jaipur,Rajasthan,2023-12-02,0
C0091,Student Stationery Kolkata,Retail,Kolkata,West Bengal,2023-07-09,0
C0092,Cyber Cafe & Print Coimbatore,Retail,Coimbatore,Tamil Nadu,2022-07-04,0
C0093,FastCard Print Nagpur,Retail,Nagpur,Maharashtra,2023-08-31,0
C0094,Quick Print Shop Surat,Retail,Surat,Gujarat,2022-01-22,0
C0095,Cyber Cafe & Print Indore,Retail,Indore,Madhya Pradesh,2025-01-23,0
C0096,Smart Print Studio Ahmedabad,Retail,Ahmedabad,Gujarat,2024-08-06,0
C0097,FastCard Print Pune,Retail,Pune,Maharashtra,2024-02-21,0
C0098,School Supplies Shop Mumbai,Retail,Mumbai,Maharashtra,2023-03-26,0
C0099,Local Print Corner Surat,Retail,Surat,Gujarat,2022-04-03,0
C0100,FastCard Print Coimbatore,Retail,Coimbatore,Tamil Nadu,2024-10-05,0
C0101,Student Stationery Lucknow,Retail,Lucknow,Uttar Pradesh,2022-05-28,0
C0102,Easy ID Cards Pune,Retail,Pune,Maharashtra,2022-07-18,0
C0103,Local Print Corner Ahmedabad,Retail,Ahmedabad,Gujarat,2024-10-01,0
C0104,Local Print Corner Mumbai,Retail,Mumbai,Maharashtra,2023-09-15,0
C0105,Easy ID Cards Kolkata,Retail,Kolkata,West Bengal,2023-04-01,0
C0106,Neighborhood Printers Pune,Retail,Pune,Maharashtra,2022-09-04,0
C0107,Easy ID Cards Surat,Retail,Surat,Gujarat,2023-12-26,0
C0108,Smart Print Studio Bengaluru,Retail,Bengaluru,Karnataka,2023-10-07,0
C0109,Local Print Corner Lucknow,Retail,Lucknow,Uttar Pradesh,2023-02-20,0
C0110,Cyber Cafe & Print Delhi,Retail,Delhi,Delhi,2024-06-04,0
C0111,Cyber Cafe & Print Mumbai,Retail,Mumbai,Maharashtra,2022-02-09,0
C0112,City Photocopy Center Lucknow,Retail,Lucknow,Uttar Pradesh,2022-10-25,0
C0113,Student Stationery Surat,Retail,Surat,Gujarat,2022-07-18,0
C0114,FastCard Print Pune,Retail,Pune,Maharashtra,2023-01-09,0
C0115,Cyber Cafe & Print Nagpur,Retail,Nagpur,Maharashtra,2024-01-29,0
C0116,Campus Stationery Indore,Retail,Indore,Madhya Pradesh,2024-03-07,0
C0117,Quick Print Shop Hyderabad,Retail,Hyderabad,Telangana,2025-02-27,0
C0118,Smart Print Studio Mumbai,Retail,Mumbai,Maharashtra,2023-05-13,0
C0119,FastCard Print Indore,Retail,Indore,Madhya Pradesh,2023-08-26,0
C0120,Student Stationery Mumbai,Retail,Mumbai,Maharashtra,2023-05-28,0
C0121,City Photocopy Center Kolkata,Retail,Kolkata,West Bengal,2023-02-24,0
C0122,Quick Print Shop Coimbatore,Retail,Coimbatore,Tamil Nadu,2022-02-13,0
C0123,FastCard Print Coimbatore,Retail,Coimbatore,Tamil Nadu,2023-12-06,0
C0124,City Photocopy Center Mumbai,Retail,Mumbai,Maharashtra,2023-06-28,0
C0125,Local Print Corner Delhi,Retail,Delhi,Delhi,2023-06-13,0
C0126,Local Print Corner Delhi,Retail,Delhi,Delhi,2024-07-07,0
C0127,Quick Print Shop Ahmedabad,Retail,Ahmedabad,Gujarat,2023-02-06,0
C0128,Student Stationery Hyderabad,Retail,Hyderabad,Telangana,2024-06-22,0
C0129,Print N Bind Jaipur,Retail,Jaipur,Rajasthan,2024-12-12,0
C0130,School Supplies Shop Delhi,Retail,Delhi,Delhi,2024-08-18,0
C0131,School Supplies Shop Hyderabad,Retail,Hyderabad,Telangana,2024-10-04,0
C0132,FastCard Print Hyderabad,Retail,Hyderabad,Telangana,2022-02-02,0
C0133,City Photocopy Center Hyderabad,Retail,Hyderabad,Telangana,2022-10-05,0
C0134,FastCard Print Lucknow,Retail,Lucknow,Uttar Pradesh,2022-05-05,0
C0135,Easy ID Cards Chandigarh,Retail,Chandigarh,Punjab,2022-08-03,0
C0136,School Supplies Shop Mumbai,Retail,Mumbai,Maharashtra,2022-10-13,0
C0137,City Photocopy Center Delhi,Retail,Delhi,Delhi,2022-10-19,0
C0138,FastCard Print Coimbatore,Retail,Coimbatore,Tamil Nadu,2024-08-26,0
C0139,Smart Print Studio Ahmedabad,Retail,Ahmedabad,Gujarat,2024-03-12,0
C0140,Student Stationery Pune,Retail,Pune,Maharashtra,2024-12-11,0
C0141,Print N Bind Hyderabad,Retail,Hyderabad,Telangana,2022-04-13,0
C0142,Easy ID Cards Hyderabad,Retail,Hyderabad,Telangana,2022-02-01,0
C0143,City Photocopy Center Nagpur,Retail,Nagpur,Maharashtra,2023-12-01,0
C0144,Campus Stationery Indore,Retail,Indore,Madhya Pradesh,2024-12-07,0
C0145,Easy ID Cards Chandigarh,Retail,Chandigarh,Punjab,2023-02-15,0
C0146,Campus Stationery Jaipur,Retail,Jaipur,Rajasthan,2023-03-12,0
C0147,School Supplies Shop Hyderabad,Retail,Hyderabad,Telangana,2024-09-23,0
C0148,Local Print Corner Pune,Retail,Pune,Maharashtra,2024-07-17,0
C0149,Campus Stationery Surat,Retail,Surat,Gujarat,2024-10-30,0
C0150,Smart Print Studio Bengaluru,Retail,Bengaluru,Karnataka,2025-03-15,0
